"","Type","AccumulationType","Individuals","Cranium","Mandible","Cervical","Thoracic","Lumbar","Sacrum","Sternum","Clavicle","Rib","Scapula","Humerus","Radius","Ulna","Carpal","Metacarpal","Innominate","Femur","Patella","Tibia","Fibula","Tarsal","Metatarsal","Hand phalanx","Foot phalanx","Hand (metacarpals + manual phalanges)","Foot (metatarsals + pedal phalanges)"
"Hummingbird_Pueblo_Pueblo_I","Primary hominin interment","Burial",6,100,100,71.4285714285714,95.8333333333333,83.3333333333333,100,100,100,95.8333333333333,100,100,100,100,72.9166666666667,88.3333333333333,100,100,91.6666666666667,100,100,86.9047619047619,80,77.3809523809524,6.54761904761905,80.2631578947368,25.8771929824561
"Pottery_Mound_Pueblo_IV","Primary hominin interment","Burial",49,77.5510204081633,69.3877551020408,74.0524781341108,76.8707482993197,78.7755102040816,79.5918367346939,0,82.6530612244898,76.6156462585034,79.5918367346939,74.4897959183673,78.5714285714286,75.5102040816327,66.3265306122449,84.8979591836735,78.5714285714286,87.7551020408163,69.3877551020408,67.3469387755102,69.3877551020408,63.265306122449,79.5918367346939,59.1107871720117,30.8309037900875,65.8968850698174,43.6627282491944
"Kuaua_Pueblo_Pueblo_IV","Primary hominin interment","Burial",84,80.9523809523809,76.1904761904762,48.9795918367347,52.9761904761905,60,61.9047619047619,0,61.3095238095238,49.2559523809524,62.5,76.7857142857143,72.0238095238095,64.8809523809524,28.8690476190476,56.1904761904762,71.4285714285714,79.1666666666667,45.8333333333333,72.0238095238095,61.9047619047619,48.6394557823129,53.3333333333333,30.6547619047619,17.984693877551,37.374686716792,27.2869674185464
"Dolni_Vestonice_I_DV_3","Primary hominin interment","Burial",1,100,100,100,100,100,100,0,100,100,100,100,100,100,50,100,100,100,100,100,100,50,40,50,21.4285714285714,63.1578947368421,26.3157894736842
"Dolni_Vestonice_IITriple_Burial","Primary hominin interment","Burial",2,100,100,100,100,100,100,100,100,97.9166666666667,100,100,100,100,12.5,35,100,100,100,100,100,32.1428571428571,35,28.5714285714286,5.35714285714286,30.2631578947368,13.1578947368421
"Skhul_Layer_B","Possible Primary hominin interment","Burial",6,83.3333333333333,83.3333333333333,16.6666666666667,33.3333333333333,40,50,33.3333333333333,50,22.9166666666667,33.3333333333333,75,66.6666666666667,75,22.9166666666667,23.3333333333333,58.3333333333333,66.6666666666667,16.6666666666667,75,58.3333333333333,26.1904761904762,20,12.5,10.1190476190476,15.3508771929825,12.719298245614
"Qafzeh_Couche_XVII","Possible Primary hominin interment","Burial",2,100,100,14.2857142857143,0,0,50,50,50,50,50,75,75,75,75,75,75,100,50,100,100,100,100,78.5714285714286,89.2857142857143,77.6315789473684,92.1052631578947
"Regourdou","Possible Primary hominin interment","Burial",1,0,100,100,75,80,100,100,100,25,0,100,100,100,43.75,80,100,50,100,50,100,28.5714285714286,30,82.1428571428571,39.2857142857143,81.5789473684211,36.8421052631579
"La_Chapelle_aux_Saints","Possible Primary hominin interment","Burial",1,100,100,85.7142857142857,75,80,100,0,50,41.6666666666667,50,100,100,100,12.5,40,100,100,100,100,50,14.2857142857143,80,7.14285714285714,7.14285714285714,15.7894736842105,26.3157894736842
"Tabun_Layer_C","Possible Primary hominin interment","Burial",1,100,100,0,66.6666666666667,0,0,100,100,83.3333333333333,50,100,50,100,43.75,50,100,100,0,100,100,92.8571428571429,60,17.8571428571429,17.8571428571429,26.3157894736842,28.9473684210526
"Shanidar_Layer_D_Upper","Possible Primary hominin interment","Burial",3,100,66.6666666666667,23.8095238095238,61.1111111111111,66.6666666666667,66.6666666666667,0,66.6666666666667,58.3333333333333,83.3333333333333,66.6666666666667,50,83.3333333333333,22.9166666666667,36.6666666666667,83.3333333333333,66.6666666666667,66.6666666666667,100,100,59.5238095238095,50,13.0952380952381,3.57142857142857,25.4385964912281,15.7894736842105
"Shanidar_Layer_D_Lower","Possible Primary hominin interment","Burial",4,100,75,42.8571428571429,31.25,60,25,25,0,20.8333333333333,50,75,62.5,50,20.3125,37.5,37.5,50,25,62.5,75,23.2142857142857,42.5,25,23.2142857142857,28.2894736842105,29.6052631578947
"Kebara_Couche_XII","Possible Primary hominin interment","Burial",1,100,100,100,100,100,100,100,100,100,100,100,100,100,93.75,90,100,50,0,0,0,0,0,78.5714285714286,0,81.5789473684211,0
"Fontbregoua_H1","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",7,100,85.7142857142857,8.16326530612245,0,0,0,0,21.4285714285714,0,14.2857142857143,21.4285714285714,14.2857142857143,0,0,0,0,21.4285714285714,0,14.2857142857143,21.4285714285714,2.04081632653061,0,3.57142857142857,1.02040816326531,2.63157894736842,0.75187969924812
"Fontbregoua_H3","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",6,0,0,4.76190476190476,0,0,16.6666666666667,0,25,6.25,50,50,33.3333333333333,41.6666666666667,0,0,8.33333333333333,33.3333333333333,0,75,25,0,0,1.19047619047619,0,0.87719298245614,0
"Gran_Dolina_TD6","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",2,0,100,14.2857142857143,0,0,0,0,25,14.5833333333333,0,25,50,0,6.25,10,0,25,50,0,0,7.14285714285714,15,8.92857142857143,12.5,9.21052631578947,13.1578947368421
"El_Mirador_MIR4A","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",5,100,80,2.85714285714286,10,8,0,0,0,5.83333333333333,10,10,0,20,1.25,2,0,10,0,20,20,4.28571428571429,0,0,0,0.526315789473684,0
"Gough's_Cave","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",3,66.6666666666667,100,46.6666666666667,8.33333333333333,0,0,0,50,47.2222222222222,66.6666666666667,83.3333333333333,66.6666666666667,100,0,3.33333333333333,33.3333333333333,83.3333333333333,0,50,50,4.76190476190476,0,1.19047619047619,0,1.75438596491228,0
"5MT_3","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",10,40,80,30,4.16666666666667,6,10,10,60,14.1666666666667,15,30,30,25,11.25,17,30,25,15,30,40,17.1428571428571,29,12.6785714285714,12.6785714285714,13.8157894736842,16.9736842105263
"5MT_10010_Feature_3","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",5,80,60,34.2857142857143,35,44,20,0,40,50.8333333333333,90,60,60,60,11.25,36,40,30,10,40,40,15.7142857142857,26,42.8571428571429,11.4285714285714,41.0526315789474,15.2631578947368
"El_Miron","Possible Primary hominin interment","Burial",1,100,100,57.1428571428571,66.6666666666667,40,0,0,50,58.3333333333333,100,0,0,0,37.5,40,100,0,100,50,100,42.8571428571429,70,46.4285714285714,75,44.7368421052632,73.6842105263158
"La_Tolita_Cama_de_Huesos","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",11,54.5454545454545,81.8181818181818,2.5974025974026,16.6666666666667,23.6363636363636,27.2727272727273,27.2727272727273,31.8181818181818,12.1212121212121,27.2727272727273,68.1818181818182,27.2727272727273,54.5454545454545,2.84090909090909,7.27272727272727,59.0909090909091,86.3636363636364,13.6363636363636,81.8181818181818,81.8181818181818,12.3376623376623,16.3636363636364,4.54545454545455,2.27272727272727,5.26315789473684,5.98086124401914
"Crow_Creek","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",476,58.1932773109244,64.9159663865546,39.5558223289316,54.8319327731093,62.9411764705882,72.8991596638655,9.2436974789916,20.6932773109244,21.9275210084034,47.5840336134454,41.281512605042,24.5798319327731,26.3655462184874,1.22111344537815,1.07142857142857,100,74.1596638655462,3.99159663865546,53.046218487395,44.7478991596639,8.22328931572629,6.17647058823529,0.330132052821128,0.0825330132052821,0.525210084033613,1.68620079610792
"Krapina","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",43,46.5116279069767,27.906976744186,7.30897009966777,2.32558139534884,9.76744186046512,0,0,11.6279069767442,6.1046511627907,15.1162790697674,15.1162790697674,10.4651162790698,8.13953488372093,0.145348837209302,0.930232558139535,13.953488372093,16.2790697674419,17.4418604651163,15.1162790697674,16.2790697674419,2.99003322259136,2.7906976744186,3.98671096345515,2.6578073089701,3.18237454100367,2.69277845777234
"Liang_Bua_Layer_R","Nonanthropogenic hominin accumulation","Non-human/ non-carnivore intervention",2,50,50,7.14285714285714,4.16666666666667,10,0,50,25,2.08333333333333,0,25,0,50,15.625,5,50,50,50,75,50,35.7142857142857,50,8.92857142857143,17.8571428571429,7.89473684210526,26.3157894736842
"Liang_Bua_Layer_OQ","Nonanthropogenic hominin accumulation","Non-human/ non-carnivore intervention",6,0,16.6666666666667,2.38095238095238,0,0,0,0,0,0,8.33333333333333,0,8.33333333333333,8.33333333333333,3.125,3.33333333333333,0,0,8.33333333333333,0,0,0,0,4.76190476190476,0,4.3859649122807,0
"Dmanisi_Layer_B1y","Nonanthropogenic hominin accumulation","Non-human/ non-carnivore intervention",4,100,75,0,0,0,0,0,25,2.08333333333333,12.5,12.5,0,0,0,0,0,12.5,12.5,12.5,0,3.57142857142857,17.5,1.78571428571429,0.892857142857143,0.657894736842105,7.89473684210526
"Malapa","Nonanthropogenic hominin accumulation","Non-human/ non-carnivore intervention",1,100,100,14.2857142857143,25,0,0,100,100,12.5,100,100,50,50,43.75,50,100,50,50,100,100,14.2857142857143,0,53.5714285714286,7.14285714285714,52.6315789473684,5.26315789473684
"AL_333","Nonanthropogenic hominin accumulation","Non-human/ non-carnivore intervention",13,30.7692307692308,46.1538461538462,4.3956043956044,1.28205128205128,1.53846153846154,0,0,7.69230769230769,1.28205128205128,0,15.3846153846154,3.84615384615385,15.3846153846154,1.92307692307692,14.6153846153846,0,19.2307692307692,0,15.3846153846154,15.3846153846154,4.94505494505495,5.38461538461538,6.86813186813187,6.31868131868132,8.90688259109312,6.07287449392713
"Unscavenged_human_corpses_WA","Unscavenged human corpses","Non-human/ non-carnivore intervention",17,94.1176470588235,100,100,99.5098039215686,94.1176470588235,100,82.3529411764706,32.3529411764706,98.5294117647059,94.1176470588235,94.1176470588235,111.764705882353,91.1764705882353,70.5882352941177,NA,100,100,85.2941176470588,97.0588235294118,97.0588235294118,48.3193277310924,NA,NA,NA,72.2910216718266,62.8482972136223
"Scavenged_human_corpses_WA","Scavenged human corpses","Carnivore intervention",45,97.7777777777778,86.6666666666667,72.0634920634921,77.4074074074074,80,75.5555555555556,60,60,69.7222222222222,61.1111111111111,53.3333333333333,48.8888888888889,43.3333333333333,26.1111111111111,NA,76.6666666666667,72.2222222222222,37.7777777777778,63.3333333333333,56.6666666666667,27.1428571428571,NA,NA,NA,26.0818713450292,34.7953216374269
"Scavenged_human_corpses_NM","Scavenged human corpses","Carnivore intervention",7,100,85.7142857142857,36.734693877551,21.4285714285714,37.1428571428571,42.8571428571429,0,28.5714285714286,4.16666666666667,42.8571428571429,28.5714285714286,14.2857142857143,28.5714285714286,0.892857142857143,NA,71.4285714285714,71.4285714285714,21.4285714285714,42.8571428571429,35.7142857142857,9.18367346938776,NA,NA,NA,8.64661654135338,3.38345864661654
"Scavenged_human_corpse_NC","Scavenged human corpses","Carnivore intervention",1,100,100,20,91.6666666666667,100,100,0,100,70.8333333333333,100,100,0,50,0,0,100,100,100,100,100,100,100,0,100,0,100
"Mapungubwe_leopard_kills","Leopard refuse","Carnivore intervention",7,100,85.7142857142857,26.530612244898,38.0952380952381,85.7142857142857,57.1428571428571,28.5714285714286,14.2857142857143,55.3571428571429,50,85.7142857142857,78.5714285714286,85.7142857142857,21.4285714285714,21.4285714285714,71.4285714285714,92.8571428571429,21.4285714285714,78.5714285714286,64.2857142857143,26.530612244898,22.8571428571429,19.8979591836735,19.8979591836735,20.3007518796992,20.6766917293233
"Leopard_refuse","Leopard refuse","Carnivore intervention",8,100,100,23.2142857142857,20,25.390625,50,0,0,28.6458333333333,50,93.75,68.75,68.75,18.75,25,62.5,93.75,0,93.75,68.75,31.25,25,26.3392857142857,26.3392857142857,25.9868421052632,25.9868421052632
"Misgrot_Cave","Natural Baboon accumulation","Non-human/ non-carnivore intervention",7,100,57.1428571428571,38.7755102040816,27.4285714285714,22.3214285714286,28.5714285714286,14.2857142857143,21.4285714285714,24.4047619047619,71.4285714285714,71.4285714285714,42.8571428571429,57.1428571428571,19.047619047619,21.4285714285714,42.8571428571429,71.4285714285714,14.2857142857143,35.7142857142857,14.2857142857143,14.2857142857143,21.4285714285714,19.1326530612245,19.1326530612245,19.7368421052632,19.7368421052632
"Sima_de_los_Huesos","Possible hominin deliberate disposal","Burial",18,72.2222222222222,83.3333333333333,33.3333333333333,21.2962962962963,21.1111111111111,27.7777777777778,22.2222222222222,25,13.8888888888889,38.8888888888889,33.3333333333333,38.8888888888889,36.1111111111111,32.6388888888889,20,50,25,30.5555555555556,27.7777777777778,25,41.2698412698413,18.3333333333333,41.6666666666667,30.3571428571429,35.9649122807018,27.1929824561403
"Dinaledi","Possible hominin deliberate disposal","Burial",13,46.1538461538462,53.8461538461538,7.69230769230769,8.33333333333333,4.61538461538461,7.69230769230769,7.69230769230769,19.2307692307692,8.97435897435897,23.0769230769231,30.7692307692308,23.0769230769231,19.2307692307692,8.17307692307692,17.6923076923077,34.6153846153846,53.8461538461538,15.3846153846154,34.6153846153846,30.7692307692308,18.6813186813187,16.1538461538462,20.8791208791209,8.79120879120879,18.8259109311741,13.3603238866397
