"","Type","AccumulationType","Individuals","Cranium","Mandible","Cervical","Thoracic","Lumbar","Sacrum","Sternum","Clavicle","Rib","Scapula","Humerus","Radius","Ulna","Carpal","Metacarpal","Innominate","Femur","Patella","Tibia","Fibula","Tarsal","Metatarsal","Hand phalanx","Foot phalanx","Hand (metacarpals + manual phalanges)","Foot (metatarsals + pedal phalanges)","Cluster_Pnas"
"Pottery_Mound_Pueblo_IV","Primary hominin interment","Burial",49,"88.372093023255815","79.069767441860463","84.385382059800662","87.596899224806194","89.767441860465127","90.697674418604649","0","94.186046511627907","87.306201550387598","90.697674418604649","84.883720930232556","89.534883720930239","86.04651162790698","75.581395348837205","96.744186046511629","89.534883720930239","100","79.069767441860463","76.744186046511629","79.069767441860463","72.093023255813947","90.697674418604649","67.358803986710967","35.132890365448503","75.091799265605871","49.755201958384333","A"
"Kuaua_Pueblo_Pueblo_IV","Primary hominin interment","Burial",84,"100","94.117647058823522","60.504201680672274","65.441176470588232","74.117647058823536","76.470588235294116","0","75.735294117647058","60.845588235294116","77.205882352941174","94.85294117647058","88.970588235294116","80.14705882352942","35.661764705882355","69.411764705882362","88.235294117647058","97.794117647058826","56.617647058823529","88.970588235294116","76.470588235294116","60.084033613445378","65.882352941176464","37.867647058823529","22.216386554621849","46.168730650154799","33.707430340557273","A"
"Skhul_Layer_B","Possible Primary hominin interment","Burial",6,"100","100","20","40","48","60","40","60","27.500000000000004","40","90","80","90","27.500000000000004","27.999999999999996","70","80","20","90","70","31.428571428571427","24","15","12.142857142857141","18.421052631578945","15.263157894736842","B"
"Fontbregoua_H1","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",7,"100","85.714285714285708","8.1632653061224492","0","0","0","0","21.428571428571427","0","14.285714285714285","21.428571428571427","14.285714285714285","0","0","0","0","21.428571428571427","0","14.285714285714285","21.428571428571427","2.0408163265306123","0","3.5714285714285712","1.0204081632653061","2.6315789473684208","0.75187969924812026","C"
"Fontbregoua_H3","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",6,"0","0","6.3492063492063489","0","0","22.222222222222221","0","33.333333333333329","8.3333333333333321","66.666666666666657","66.666666666666657","44.444444444444443","55.555555555555557","0","0","11.111111111111111","44.444444444444443","0","100","33.333333333333329","0","0","1.5873015873015872","0","1.1695906432748537","0","C"
"Gran_Dolina_TD6","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",2,"0","100","14.285714285714285","0","0","0","0","25","14.583333333333334","0","25","50","0","6.25","10","0","25","50","0","0","7.1428571428571423","15","8.9285714285714288","12.5","9.2105263157894726","13.157894736842104","C"
"El_Mirador_MIR4A","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",5,"100","80","2.8571428571428572","10","8","0","0","0","5.833333333333333","10","10","0","20","1.25","2","0","10","0","20","20","4.2857142857142856","0","0","0","0.52631578947368418","0","C"
"Krapina","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",43,"100","60","15.714285714285714","5","21.000000000000004","0","0","25","13.125","32.5","32.5","22.5","17.5","0.3125","2","30","35","37.5","32.5","35","6.4285714285714297","6","8.5714285714285712","5.7142857142857144","6.8421052631578956","5.7894736842105265","C"
"AL_333","Nonanthropogenic hominin accumulation","Non-human/ non-carnivore intervention",13,"66.666666666666657","100","9.5238095238095237","2.7777777777777777","3.3333333333333335","0","0","16.666666666666664","2.7777777777777777","0","33.333333333333329","8.3333333333333321","33.333333333333329","4.1666666666666661","31.666666666666664","0","41.666666666666671","0","33.333333333333329","33.333333333333329","10.714285714285715","11.666666666666666","14.880952380952381","13.69047619047619","19.298245614035089","13.157894736842104","C"
"Unscavenged_human_corpses_WA","Unscavenged human corpses","Non-human/ non-carnivore intervention",17,"84.210526315789465","89.473684210526315","89.473684210526315","89.035087719298261","84.210526315789465","89.473684210526315","73.68421052631578","28.947368421052634","88.157894736842096","84.210526315789465","84.210526315789465","100","81.578947368421055","63.157894736842103","-","89.473684210526315","89.473684210526315","76.31578947368422","86.842105263157904","86.842105263157904","43.233082706766915","-","-","-","64.68144044321329","56.232686980609415","A"
"Scavenged_human_corpses_WA","Scavenged human corpses","Carnivore intervention",45,"100","88.63636363636364","73.701298701298697","79.166666666666671","81.818181818181827","77.272727272727266","61.363636363636367","61.363636363636367","71.306818181818173","62.5","54.54545454545454","50","44.31818181818182","26.704545454545453","-","78.409090909090907","73.86363636363636","38.636363636363633","64.772727272727266","57.95454545454546","27.759740259740255","-","-","-","26.674641148325357","35.586124401913871","D"
"Mapungubwe_leopard_kills","Leopard refuse","Carnivore intervention",7,"100","85.714285714285708","26.530612244897959","38.095238095238095","85.714285714285708","57.142857142857139","28.571428571428569","14.285714285714285","55.357142857142861","50","85.714285714285708","78.571428571428569","85.714285714285708","21.428571428571427","21.428571428571427","71.428571428571431","92.857142857142861","21.428571428571427","78.571428571428569","64.285714285714292","26.530612244897959","22.857142857142858","19.897959183673468","19.897959183673468","20.300751879699249","20.676691729323309","B"
"Leopard_refuse","Leopard refuse","Carnivore intervention",8,"100","100","23.214285714285715","20","25.390625","50","0","0","28.645833333333332","50","93.75","68.75","68.75","18.75","25","62.5","93.75","0","93.75","68.75","31.25","25","26.339285714285715","26.339285714285715","25.986842105263158","25.986842105263158","B"
"Misgrot_Cave","Natural Baboon accumulation","Non-human/ non-carnivore intervention",7,"100","57.142857142857139","38.775510204081634","27.428571428571431","22.321428571428573","28.571428571428569","14.285714285714285","21.428571428571427","24.404761904761905","71.428571428571431","71.428571428571431","42.857142857142854","57.142857142857139","19.047619047619047","21.428571428571427","42.857142857142854","71.428571428571431","14.285714285714285","35.714285714285715","14.285714285714285","14.285714285714285","21.428571428571427","19.132653061224488","19.132653061224488","19.736842105263158","19.736842105263158","D"
"Sima_de_los_Huesos","Possible hominin deliberate disposal","Burial",18,"86.666666666666671","100","40","25.555555555555561","25.333333333333329","33.333333333333329","26.666666666666668","30","16.666666666666664","46.666666666666664","40","46.666666666666664","43.333333333333336","39.166666666666664","24.000000000000004","60","30","36.666666666666664","33.333333333333329","30","49.523809523809526","22","50","36.428571428571423","43.15789473684211","32.631578947368418","D"
"Dinaledi","Possible hominin deliberate disposal","Burial",13,"85.714285714285708","100","14.285714285714285","15.476190476190474","8.5714285714285712","14.285714285714285","14.285714285714285","35.714285714285715","16.666666666666668","42.857142857142854","57.142857142857139","42.857142857142854","35.714285714285715","15.178571428571427","32.857142857142854","64.285714285714292","100","28.571428571428569","64.285714285714292","57.142857142857139","34.693877551020407","30","38.775510204081634","16.326530612244898","34.962406015037587","24.81203007518797","D"
