"","Type","AccumulationType","Individuals...3","Cranium","Mandible","Cervical","Thoracic","Lumbar","Sacrum","Sternum","Clavicle","Rib","Scapula","Humerus","Radius","Ulna","Carpal","Innominate","Femur","Patella","Tibia","Fibula","Tarsal","Hand (metacarpals + manual phalanges)","Foot (metatarsals + pedal phalanges)","Individuals...26","Cluster_Pnas"
"Pottery_Mound_Pueblo_IV","Primary hominin interment","Burial",49,4.74242244984342,4.243220086702,4.52847857992567,4.70082225291497,4.81730280431463,4.86722304062877,0,5.0544239268068,4.6852221790668,4.86722304062877,4.55522156366539,4.80482274523609,4.61762185905806,4.05601920052398,4.80482274523609,5.36642540377018,4.243220086702,4.11841949591665,4.243220086702,3.86881831434594,4.02974539193758,2.6700757975919,6.1152289484823,"A"
"Kuaua_Pueblo_Pueblo_IV","Primary hominin interment","Burial",84,6.0399303912047,5.68464036819266,3.65441166526671,3.95260150600896,4.47665428995172,4.61877029915654,0,4.57435904628003,3.6750311755308,4.66318155203304,5.72905162106917,5.37376159805712,4.84082656353906,2.1539457645105,5.32935034518062,5.90669663257519,3.4196664714909,5.37376159805712,4.61877029915654,3.62903380648014,2.78855919377214,2.03590532923347,7.46109048325287,"A"
"Skhul_Layer_B","Possible Primary hominin interment","Burial",6,7.47321162674398,7.47321162674398,1.4946423253488,2.98928465069759,3.58714158083711,4.48392697604639,2.98928465069759,4.48392697604639,2.0551331973546,2.98928465069759,6.72589046406959,5.97856930139519,6.72589046406959,2.0551331973546,5.23124813872079,5.97856930139519,1.4946423253488,6.72589046406959,5.23124813872079,2.34872365411954,1.37664424703179,1.14064809039777,8.96785395209278,"B"
"Fontbregoua_H1","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",7,23.3714070540982,20.0326346177984,1.90786996359985,0,0,0,0,5.0081586544496,0,3.33877243629974,5.0081586544496,3.33877243629974,0,0,0,5.0081586544496,0,3.33877243629974,5.0081586544496,0.476967490899962,0.615037027739425,0.175724865068407,23.3714070540982,"C"
"Fontbregoua_H3","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",6,0,0,1.01269196175755,0,0,3.54442186615144,0,5.31663279922716,1.32915819980679,10.6332655984543,10.6332655984543,7.08884373230287,8.86105466537859,0,1.77221093307572,7.08884373230287,0,15.9498983976815,5.31663279922716,0,0.186548519271128,0,21.2665311969086,"C"
"Gran_Dolina_TD6","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",2,0,22.7463835245493,3.2494833606499,0,0,0,0,5.68659588113732,3.31718093066344,0,5.68659588113732,11.3731917622746,0,1.42164897028433,0,5.68659588113732,11.3731917622746,0,0,1.62474168032495,2.09506164041901,2.99294520059859,22.7463835245493,"C"
"El_Mirador_MIR4A","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",5,24.8291440634854,19.8633152507884,0.709404116099584,2.48291440634854,1.98633152507884,0,0,0,1.44836673703665,2.48291440634854,2.48291440634854,0,4.96582881269709,0.310364300793568,0,2.48291440634854,0,4.96582881269709,4.96582881269709,1.06410617414938,0.130679705597292,0,24.8291440634854,"C"
"Krapina","Hominin cannibalism/ secondary interment","Cannibalism/Mass Grave",43,13.3473580949406,8.00841485696437,2.09744198634781,0.667367904747031,2.80294519993753,0,0,3.33683952373515,1.75184074996096,4.3378913808557,4.3378913808557,3.00315557136164,2.33578766661461,0.0417104940466894,4.00420742848218,4.67157533322921,5.00525928560273,4.3378913808557,4.67157533322921,0.858044448960468,0.913240290706463,0.77274178444393,28.6968199041223,"C"
"AL_333","Nonanthropogenic hominin accumulation","Non-human/ non-carnivore intervention",13,10.2708981565797,15.4063472348696,1.46727116522567,0.427954089857488,0.513544907828986,0,0,2.56772453914493,0.427954089857488,0,5.13544907828986,1.28386226957246,5.13544907828986,0.641931134786232,0,6.41931134786232,0,5.13544907828986,5.13544907828986,1.65068006087888,2.97315472953623,2.02715095195652,33.3804190088841,"C"
"Unscavenged_human_corpses_WA","Unscavenged human corpses","Non-human/ non-carnivore intervention",17,4.6463727505959,4.93677104750814,4.93677104750814,4.91257118943212,4.6463727505959,4.93677104750814,4.06557615677141,1.59719063301734,4.86417147328008,4.6463727505959,4.6463727505959,5.51756764133263,4.50117360213978,3.48477956294692,4.93677104750814,4.93677104750814,4.21077530522753,4.79157189905202,4.79157189905202,2.38541458177914,3.56884222784257,3.10267654069397,4.93677104750814,"A"
"Scavenged_human_corpses_WA","Scavenged human corpses","Carnivore intervention",45,6.95107157899217,6.16117708137942,5.1230300273741,5.50293166670214,5.68724038281178,5.37128258376668,4.26543028710883,4.26543028710883,4.95658797251999,4.34441973687011,3.79149358854118,3.47553578949609,3.08058854068971,1.85625206938995,5.45027203352795,5.13431423448285,2.68564129188334,4.50239863639266,4.02846193782501,1.92959941559685,1.85417339965939,2.47361697936623,7.10905047851472,"D"
"Mapungubwe_leopard_kills","Leopard refuse","Carnivore intervention",7,7.6398885336707,6.54847588600345,2.02690920281059,2.91043372711265,6.54847588600345,4.36565059066897,2.18282529533448,1.09141264766724,4.22922400971056,3.81994426683535,6.54847588600345,6.00276956216983,6.54847588600345,1.63711897150086,5.45706323833621,7.09418220983707,1.63711897150086,6.00276956216983,4.91135691450259,2.02690920281059,1.55095481510608,1.57967620057101,7.6398885336707,"B"
"Leopard_refuse","Leopard refuse","Carnivore intervention",8,8.70152056822947,8.70152056822947,2.01999584619613,1.74030411364589,2.20937045677701,4.35076028411473,0,0,2.49262307944073,4.35076028411473,8.15767553271512,5.98229539065776,5.98229539065776,1.63153510654303,5.43845035514342,8.15767553271512,0,8.15767553271512,5.98229539065776,2.71922517757171,2.26125041082279,2.26125041082279,8.70152056822947,"B"
"Misgrot_Cave","Natural Baboon accumulation","Non-human/ non-carnivore intervention",7,10.7689639846015,6.15369370548657,4.17572072872303,2.95377297863355,2.40378660370569,3.07684685274329,1.53842342637164,2.30763513955746,2.62814002005156,7.69211713185821,7.69211713185821,4.61527027911493,6.15369370548657,2.05123123516219,4.61527027911493,7.69211713185821,1.53842342637164,3.84605856592911,1.53842342637164,1.53842342637164,2.12545341801345,2.12545341801345,10.7689639846015,"D"
"Sima_de_los_Huesos","Possible hominin deliberate disposal","Burial",18,8.37060798257778,9.65839382605128,3.86335753042051,2.46825619999088,2.44679310259966,3.21946460868376,2.57557168694701,2.89751814781538,1.60973230434188,4.50725045215726,3.86335753042051,4.50725045215726,4.18530399128889,3.78287091520342,5.79503629563077,2.89751814781538,3.54141106955214,3.21946460868376,2.89751814781538,4.78320456147301,4.16835944071687,3.15168640639568,11.5900725912615,"D"
"Dinaledi","Possible hominin deliberate disposal","Burial",13,7.8405460871573,9.14730376835018,1.30675768119288,1.41565415462562,0.78405460871573,1.30675768119288,1.30675768119288,3.26689420298221,1.52455062805836,3.92027304357865,5.22703072477153,3.92027304357865,3.26689420298221,1.38843003626744,5.88040956536797,9.14730376835018,2.61351536238577,5.88040956536797,5.22703072477153,3.17355436861129,3.19811748291942,2.26963176207185,16.9878498555075,"D"
